Species Name,Latitude,Longitude,Day,Month,Year,Local Time,Location Name,Loc Reliability,Sp Code,ID Reliability,Min. Number of Animals,Max. Number of Animals,Animal Condition,Platform,Type of Sighting,Type of Gear,Target Species,Strand or Entrapment Outcome,Depth (m),Distance From Obs (m),Discard Wt (kg)
Leatherback Turtle,49.901,-57.8594,19,7,2024,,Cow Head  Northern Peninsula,2,9701,1,1,1,Alive,Unknown,Free Swimming,,,,,,
Leatherback Turtle,44.3,-60.6667,30,7,2024,,Offshore,1,9701,1,1,1,Alive,Fishing Vessel,Entrapment,,,Alive,,,
Leatherback Turtle,40.12,-70.2,31,7,2024,,,1,9701,1,1,1,Alive,Unknown,Free Swimming,,,,,,
Leatherback Turtle,40.23,-70.33,31,7,2024,,,1,9701,1,1,1,Alive,Unknown,Free Swimming,,,,,,
Green Turtle,44.8328,-61.8055,1,8,2024,18:00,Goose Bay,1,9703,1,1,1,Alive,Unknown,Free Swimming,,,,,,
Green Turtle,44.8328,-61.8055,1,8,2024,,,1,9703,1,1,1,Alive,Military Vessel,Free Swimming,,,,,,
Leatherback Turtle,40.28,-70.99,1,8,2024,,,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,40.75,-72.3,1,8,2024,,,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,39.92,-68.79,2,8,2024,,,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,40.29,-69.21,2,8,2024,,,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,40.34,-68.96,2,8,2024,,,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,40.46,-69.4,2,8,2024,,,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,40.63,-69.59,2,8,2024,,,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,41.11,-70.14,2,8,2024,,,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,46.1238,-54.4675,3,8,2024,,SouthCoast,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,100,,
Leatherback Turtle,47.9488,-60.9709,3,8,2024,8:28,ew,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,47.9501,-61.1142,3,8,2024,8:31,ew,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
